ID,PROBLEM,URL,LEVEL,TAG,B75,B50,NC.io,G75,LC,SP,NOTES
180,Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,Medium,Linked List,,,,,,,DFS
181,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,Medium,Linked List,,,X,,,X,Repeated in array section btw
182,Partition List,https://leetcode.com/problems/partition-list/,Medium,Linked List,,,,,,,
,,,,,,,,,,,
184,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,Intervals,X,X,X,X,,X,"create empty results array
iterate through intervals
if newInterval's end time is before the current interval's start time, then we can just append newInterval and append the rest of intervalsto our output array and return
if newInterval's start time is after the current interval's end time, then we can append the current interval we're at to the output array
else, set newInterval's start to the minimum between newInterval's start and current one's start, and set newInterval's end to the maximum between newInterval's end and current one's end. DON'T APPEND TO RESULTS UNTIL AFTER FOR LOOP
after for loop just append newInterval and then return"
185,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,Intervals,X,X,X,X,X,X,"sort intervals first by starting time, 
then if current start time is <= lastEnd time, update the output's end time to be the MAX of last end time and current end time.
if not, then just append start, end to end of output"
186,Non-Overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,Intervals,X,X,X,X,,X,"sort intervals first by starting time, keep track of lastEnd value
iterate through intervals, if start < lastEnd, then res += 1 and set lastEnd = MIN(lastEnd, end) (this is the greedy approach, basically ""delete"" whichever end is larger)
if not, just set lastEnd to end of current interval"
187,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,Easy,Intervals,X,X,X,X,,X,
188,Meeting Rooms 2,https://leetcode.com/problems/meeting-rooms-ii/,Medium,Intervals,X,X,X,X,X,X,"have two separate arrays for start and end times and sort both
have a start counter and an end counter, keep count variable and res should track the max of count
iterate through start array, while s < len(start)
if start[s] < end[e], then increase count and s by one
else, decrease count and increase e by one
in while loop, just do res = max(res, count)
return res at the end"
189,Interval List Intersections,https://leetcode.com/problems/interval-list-intersections/,Medium,Intervals,,,,,,X,
190,Employee Free Time,https://leetcode.com/problems/employee-free-time/,Hard,Intervals,,,,X,,X,"Sort, Heap"
191,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,Hard,Intervals,,,X,,,,
,,,,,,,,,,,
193,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,Heap,X,X,X,,,X,
194,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,Heap,X,X,X,X,X,X,
195,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,Heap,X,X,X,X,X,X,
196,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/,Medium,Heap,,,,X,,,
197,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,Heap,,,X,X,,X,"Quickselect is better for average case time complexity, CHOOSE A RANDOM PIVOT!"
198,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,Heap,,,X,,,,"to find kth largest, just keep a minheap and keep popping until you get to heap length of k"
199,Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,Easy,Heap,,,X,,,,
200,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem/discuss/61261/10-line-Python-solution-104-ms,Hard,Heap,,,,,X,,
201,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,Medium,Heap,,,X,X,,X,Use minHeap with 3 element list. Python sorts for minHeap off of first element
202,Course Schedule 3,https://leetcode.com/problems/course-schedule-iii/,Hard,Heap,,,,,,X,
203,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,Medium,Heap,,,,,,X,
204,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,Medium,Heap,,,,,,X,
205,"Smallest Range Covering Elements 
from K Lists",https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,Hard,Heap,,,,X,,X,
206,Sliding Window Median,https://leetcode.com/problems/sliding-window-median/,Hard,Heap,,,,,,X,
,,,,,,,,,,,
208,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths/,Easy,Tree,,,,,,,DFS
209,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,Easy,Tree,,X,,,,X,DFS
210,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,Tree,X,,X,X,X,X,DFS
211,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,Tree,X,X,X,X,,X,DFS
212,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,Tree,X,X,X,X,X,X,BFS
213,Binary Tree Level Order Traversal 2,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,Medium,Tree,,,,,,X,BFS
